,index,Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
801,802,SymbexNet: Testing Network Protocol Implementations with Symbolic Execution and Rule-Based Specifications,J. Song; C. Cadar; P. Pietzuch,"Department of Computer and Information Security, Sejong University, Seoul, Republic of Korea; Department of Computing, Imperial College London, London, SW7 2AZ, U.K.; Department of Computer and Information Security, Sejong University, Seoul, Republic of Korea",IEEE Transactions on Software Engineering,8 Jul 2014,2014,40,7,695,709,"Implementations of network protocols, such as DNS, DHCP and Zeroconf, are prone to flaws, security vulnerabilities and interoperability issues caused by developer mistakes and ambiguous requirements in protocol specifications. Detecting such problems is not easy because (i) many bugs manifest themselves only after prolonged operation; (ii) reasoning about semantic errors requires a machine-readable specification; and (iii) the state space of complex protocol implementations is large. This article presents a novel approach that combines symbolic execution and rule-based specifications to detect various types of flaws in network protocol implementations. The core idea behind our approach is to (1) automatically generate high-coverage test input packets for a network protocol implementation using single- and multi-packet exchange symbolic execution (targeting stateless and stateful protocols, respectively) and then (2) use these packets to detect potential violations of manual rules derived from the protocol specification, and check the interoperability of different implementations of the same network protocol. We present a system based on these techniques, SymbexNet, and evaluate it on multiple implementations of two network protocols: Zeroconf, a service discovery protocol, and DHCP, a network configuration protocol. SymbexNet is able to discover non-trivial bugs as well as interoperability problems, most of which have been confirmed by the developers.",1939-3520,,10.1109/TSE.2014.2323977,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6815719,Symbolic execution;network security;testing;interoperability testing,Protocols;IP networks;Interoperability;Servers;Concrete;Testing;Computer bugs,formal specification;open systems;program debugging;program testing,SymbexNet;testing network protocol implementations;symbolic execution;rule based specifications;DNS;DHCP;Zeroconf;interoperability issues;security vulnerabilities;protocol specifications;semantic errors;machine readable specification;protocol implementations;protocol specification;network protocol;interoperability problems,,9.0,,50.0,,14 May 2014,,,IEEE,IEEE Journals
802,803,Synthesizing Modal Transition Systems from Triggered Scenarios,G. E. Sibay; V. Braberman; S. Uchitel; J. Kramer,"Imperial College London, London; University of Buenos Aires, Buenos Aires; Imperial College London, London and University of Buenos Aires, Buenos Aires; Imperial College, London",IEEE Transactions on Software Engineering,26 Jun 2013,2013,39,7,975,1001,"Synthesis of operational behavior models from scenario-based specifications has been extensively studied. The focus has been mainly on either existential or universal interpretations. One noteworthy exception is Live Sequence Charts (LSCs), which provides expressive constructs for conditional universal scenarios and some limited support for nonconditional existential scenarios. In this paper, we propose a scenario-based language that supports both existential and universal interpretations for conditional scenarios. Existing model synthesis techniques use traditional two-valued behavior models, such as Labeled Transition Systems. These are not sufficiently expressive to accommodate specification languages with both existential and universal scenarios. We therefore shift the target of synthesis to Modal Transition Systems (MTS), an extension of labeled Transition Systems that can distinguish between required, unknown, and proscribed behavior to capture the semantics of existential and universal scenarios. Modal Transition Systems support elaboration of behavior models through refinement, which complements an incremental elicitation process suitable for specifying behavior with scenario-based notations. The synthesis algorithm that we define constructs a Modal Transition System that uses refinement to characterize all the Labeled Transition Systems models that satisfy a mixed, conditional existential and universal scenario-based specification. We show how this combination of scenario language, synthesis, and Modal Transition Systems supports behavior model elaboration.",1939-3520,,10.1109/TSE.2012.62,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6311408,Scenarios;MTS;synthesis;partial behavior models,Semantics;Analytical models;Online banking;Merging;Unified modeling language;Indexes;Cognition,formal verification;reasoning about programs,modal transition systems;triggered scenarios;operational behavior models;scenario-based specifications;live sequence charts;LSC;conditional universal scenarios;nonconditional existential scenarios;scenario-based language;model synthesis techniques;two-valued behavior models;specification languages;MTS;incremental elicitation process;scenario-based notations;conditional existential scenario-based specification;universal scenario-based specification;labeled transition system models;behavior model elaboration,,13.0,,40.0,,24 Sep 2012,,,IEEE,IEEE Journals
803,804,Finding Atomicity-Violation Bugs through Unserializable Interleaving Testing,S. Lu; S. Park; Y. Zhou,"University of Wisconsin-Madison, Madison; University of California, San Diego, La Jolla; University of California, San Diego, La Jolla",IEEE Transactions on Software Engineering,26 Jul 2012,2012,38,4,844,860,"Multicore hardware is making concurrent programs pervasive. Unfortunately, concurrent programs are prone to bugs. Among different types of concurrency bugs, atomicity violations are common and important. How to test the interleaving space and expose atomicity-violation bugs is an open problem. This paper makes three contributions. First, it designs and evaluates a hierarchy of four interleaving coverage criteria using 105 real-world concurrency bugs. This study finds a coverage criterion (Unserializable Interleaving Coverage) that balances the complexity and the capability of exposing atomicity-violation bugs well. Second, it studies stress testing to understand why this common practice cannot effectively expose atomicity-violation bugs from the perspective of unserializable interleaving coverage. Third, it designs CTrigger following the unserializable interleaving coverage criterion. CTrigger uses trace analysis to identify feasible unserializable interleavings, and then exercises low-probability interleavings to expose atomicity-violation bugs. We evaluate CTrigger with real-world atomicity-violation bugs from seven applications. CTrigger efficiently exposes these bugs within 1-235 seconds, two to four orders of magnitude faster than stress testing. Without CTrigger, some of these bugs do not manifest even after seven days of stress testing. Furthermore, once a bug is exposed, CTrigger can reliably reproduce it, usually within 5 seconds, for diagnosis.",1939-3520,,10.1109/TSE.2011.35,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5740930,Testing and debugging;debugging aids;diagnostics;testing strategies;test coverage of code;concurrent programming;bug characteristics,Computer bugs;Testing;Instruction sets;Concurrent computing;Stress;Complexity theory;Synchronization,formal verification;multiprocessing systems;probability;program debugging;ubiquitous computing,finding atomicity violation bugs;unserializable interleaving testing;multicore hardware;pervasive concurrent programs;concurrency bugs;unserializable interleaving coverage;trace analysis;low probability interleavings,,17.0,,48.0,,5 Apr 2011,,,IEEE,IEEE Journals
804,805,Developing a Single Model and Test Prioritization Strategies for Event-Driven Software,R. C. Bryce; S. Sampath; A. M. Memon,"Utah State University, Logan; University of Maryland, Baltimore; University of Maryland, College Park",IEEE Transactions on Software Engineering,28 Jan 2011,2011,37,1,48,64,"Event-Driven Software (EDS) can change state based on incoming events; common examples are GUI and Web applications. These EDSs pose a challenge to testing because there are a large number of possible event sequences that users can invoke through a user interface. While valuable contributions have been made for testing these two subclasses of EDS, such efforts have been disjoint. This work provides the first single model that is generic enough to study GUI and Web applications together. In this paper, we use the model to define generic prioritization criteria that are applicable to both GUI and Web applications. Our ultimate goal is to evolve the model and use it to develop a unified theory of how all EDS should be tested. An empirical study reveals that the GUI and Web-based applications, when recast using the new model, show similar behavior. For example, a criterion that gives priority to all pairs of event interactions did well for GUI and Web applications; another criterion that gives priority to the smallest number of parameter value settings did poorly for both. These results reinforce our belief that these two subclasses of applications should be modeled and studied together.",1939-3520,,10.1109/TSE.2010.12,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5401169,Combinatorial interaction testing;covering arrays;event-driven software (EDS);t-way interaction coverage;test suite prioritization;user-session testing;Web application testing;GUI testing.,Software testing;Graphical user interfaces;Application software;Computer science;User interfaces;Protocols;Embedded software;Information systems;Educational institutions;Abstracts,graphical user interfaces;Internet;program testing;service-oriented architecture,event-driven software;test prioritization strategy;EDS;GUI testing;Web application testing;graphical user interface,,73.0,1.0,28.0,,29 Jan 2010,,,IEEE,IEEE Journals
805,806,Forecasting Risk Impact on ERP Maintenance with Augmented Fuzzy Cognitive Maps,J. L. Salmeron; C. Lopez,"University Pablo de Olavide, Seville; Pablo de Olavide University, Seville",IEEE Transactions on Software Engineering,3 Apr 2012,2012,38,2,439,452,"Worldwide, firms have made great efforts to implement Enterprise Resource Planning (ERP) systems. Despite these efforts, ERP adoption success is not guaranteed. Successful adoption of an ERP system also depends on proper system maintenance. For this reason, companies should follow a maintenance strategy that drives the ERP system toward success. However, in general, ERP maintenance managers do not know what conditions they should target to successfully maintain their ERP systems. Furthermore, numerous risks threaten these projects, but they are normally dealt with intuitively. To date, there has been limited literature published regarding ERP maintenance risks or ERP maintenance success. To address this need, we have built a dynamic simulation tool that allows ERP managers to foresee the impact of risks on maintenance goals. This research would help professionals manage their ERP maintenance projects. Moreover, it covers a significant gap in the literature.",1939-3520,,10.1109/TSE.2011.8,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5680917,ERP;fuzzy cognitive maps;risk management;simulation;software maintenance.,Decision support systems,cognition;enterprise resource planning;forecasting theory;fuzzy set theory;project management;risk analysis;software maintenance;software management,enterprise resource planning system;ERP adoption success;ERP system maintenance;ERP maintenance risks;dynamic simulation tool;ERP maintenance project management;augmented fuzzy cognitive maps;risk impact forecasting,,55.0,,111.0,,6 Jan 2011,,,IEEE,IEEE Journals
806,807,The Impact of Classifier Configuration and Classifier Combination on Bug Localization,S. W. Thomas; M. Nagappan; D. Blostein; A. E. Hassan,"Queen's University, Kingston; Queen's University, Kingston; Queen's University, Kingston; Queen's University, Kingston",IEEE Transactions on Software Engineering,25 Sep 2013,2013,39,10,1427,1443,"Bug localization is the task of determining which source code entities are relevant to a bug report. Manual bug localization is labor intensive since developers must consider thousands of source code entities. Current research builds bug localization classifiers, based on information retrieval models, to locate entities that are textually similar to the bug report. Current research, however, does not consider the effect of classifier configuration, i.e., all the parameter values that specify the behavior of a classifier. As such, the effect of each parameter or which parameter values lead to the best performance is unknown. In this paper, we empirically investigate the effectiveness of a large space of classifier configurations, 3,172 in total. Further, we introduce a framework for combining the results of multiple classifier configurations since classifier combination has shown promise in other domains. Through a detailed case study on over 8,000 bug reports from three large-scale projects, we make two main contributions. First, we show that the parameters of a classifier have a significant impact on its performance. Second, we show that combining multiple classifiers--whether those classifiers are hand-picked or randomly chosen relative to intelligently defined subspaces of classifiers--improves the performance of even the best individual classifiers.",1939-3520,,10.1109/TSE.2013.27,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6520844,Software maintenance;bug localization;information retrieval;VSM;LSI;LDA;classifier combination,Large scale integration;Measurement;Vectors;Information retrieval;Matrix decomposition;Indexes;Resource management,information retrieval;pattern classification;program debugging,classifier configuration;classifier combination;source code entity determination;bug report;bug localization classifiers;information retrieval models;parameter value;classifier parameter,,44.0,,62.0,,27 May 2013,,,IEEE,IEEE Journals
807,808,"Input Domain Reduction through Irrelevant Variable Removal and Its Effect on Local, Global, and Hybrid Search-Based Structural Test Data Generation",P. McMinn; M. Harman; K. Lakhotia; Y. Hassoun; J. Wegener,"University of Sheffield, Sheffield; University College London, London; University College London, London; King's College London, London; Berner & Mattner Systemtechnik GmbH, Berlin",IEEE Transactions on Software Engineering,3 Apr 2012,2012,38,2,453,477,"Search-Based Test Data Generation reformulates testing goals as fitness functions so that test input generation can be automated by some chosen search-based optimization algorithm. The optimization algorithm searches the space of potential inputs, seeking those that are “fit for purpose,” guided by the fitness function. The search space of potential inputs can be very large, even for very small systems under test. Its size is, of course, a key determining factor affecting the performance of any search-based approach. However, despite the large volume of work on Search-Based Software Testing, the literature contains little that concerns the performance impact of search space reduction. This paper proposes a static dependence analysis derived from program slicing that can be used to support search space reduction. The paper presents both a theoretical and empirical analysis of the application of this approach to open source and industrial production code. The results provide evidence to support the claim that input domain reduction has a significant effect on the performance of local, global, and hybrid search, while a purely random search is unaffected.",1939-3520,,10.1109/TSE.2011.18,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5710949,Search-based software testing;evolutionary testing;automated test data generation;input domain reduction.,Input variables;Software testing;Optimization;Algorithm design and analysis;Search problems;Software algorithms,automatic test pattern generation;optimisation;program compilers;program slicing;program testing;public domain software;search problems,input domain reduction;irrelevant variable removal;hybrid search-based structural test data generation;fitness functions;test input generation;search-based optimization algorithm;key determining factor;search-based software testing;search space reduction;static dependence analysis;program slicing;open source approach;industrial production code,,33.0,,52.0,,10 Feb 2011,,,IEEE,IEEE Journals
808,809,A Practical Approach to Size Estimation of Embedded Software Components,K. Lind; R. Heldal,"Saab Automobile AB, Trollhättan; Chalmers University of Technology, Göteborg",IEEE Transactions on Software Engineering,24 Sep 2012,2012,38,5,993,1007,"To estimate software code size early in the development process is important for developing cost-efficient embedded systems. We have applied the COSMIC Functional Size Measurement (FSM) method for size estimation of embedded software components in the automotive industry. Correlational studies were conducted using data from two automotive companies. The studies show strong correlation between functional size and software code size, which is important for obtaining accurate estimation results. This paper presents the characteristics and results of our work, and aims to provide a practical framework for how to use COSMIC FSM for size estimation purposes. We investigate the results from our earlier correlational studies, and conduct further studies to identify such a framework. Based on these activities, we conclude that a clear purpose of the estimation process, a well-defined domain allowing categorization of software, consistent content and quality of requirements, and historical data from implemented software are key factors for size estimation of embedded software components.",1939-3520,,10.1109/TSE.2011.86,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5999672,Real-time and embedded systems;software product metrics;COSMIC FSM;software components,Software;Estimation;Vehicles;Size measurement;Automotive engineering;Industries;Memory management,automotive engineering;object-oriented programming;production engineering computing;software cost estimation;software metrics,software code size estimation;embedded software components;development process;cost-efficient embedded systems;COSMIC functional size measurement method;FSM method;automotive industry;automotive companies;domain allowing categorization;consistent content;requirements quality;historical data;software product metrics,,7.0,,48.0,,25 Aug 2011,,,IEEE,IEEE Journals
809,810,"Aligning Qualitative, Real-Time, and Probabilistic Property Specification Patterns Using a Structured English Grammar",M. Autili; L. Grunske; M. Lumpe; P. Pelliccione; A. Tang,"Dipartimento di Ingegneria e Scienze dell’Informazione e Matematica, Università dell’Aquila, Aquila, Italy; Institute of Software Technology, University of Stuttgart, Stuttgart, Germany; Swinburne University of Technology, Hawthorn, Australia; Dipartimento di Ingegneria e Scienze dell’Informazione e Matematica, Università dell’Aquila, Aquila, Italy; Swinburne University of Technology, Hawthorn, Australia",IEEE Transactions on Software Engineering,14 Jul 2015,2015,41,7,620,638,"Formal methods offer an effective means to assert the correctness of software systems through mathematical reasoning. However, the need to formulate system properties in a purely mathematical fashion can create pragmatic barriers to the application of these techniques. For this reason, Dwyer et al. invented property specification patterns which is a system of recurring solutions to deal with the temporal intricacies that would make the construction of reactive systems very hard otherwise. Today, property specification patterns provide general rules that help practitioners to qualify order and occurrence, to quantify time bounds, and to express probabilities of events. Nevertheless, a comprehensive framework combining qualitative, real-time, and probabilistic property specification patterns has remained elusive. The benefits of such a framework are twofold. First, it would remove the distinction between qualitative and quantitative aspects of events; and second, it would provide a structure to systematically discover new property specification patterns. In this paper, we report on such a framework and present a unified catalogue that combines all known plus 40 newly identified or extended patterns. We also offer a natural language front-end to map patterns to a temporal logic of choice. To demonstrate the virtue of this new framework, we applied it to a variety of industrial requirements, and use PSPWizard, a tool specifically developed to work with our unified pattern catalogue, to automatically render concrete instances of property specification patterns to formulae of an underlying temporal logic of choice.",1939-3520,,10.1109/TSE.2015.2398877,PRESTO; European Commission; DFG; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7029714,Specification Patterns;Real-time Properties;Probabilistic Properties;Specification patterns;real-time properties;probabilistic properties,Probabilistic logic;Real-time systems;Natural languages;Software;Grammar;Electronic mail;Educational institutions,formal specification;natural language processing;probability;temporal logic,qualitative property specification pattern;real-time property specification pattern;probabilistic property specification pattern;structured English grammar;formal methods;software system correctness;mathematical reasoning;temporal intricacies;order qualification;occurrence qualification;time bound quantification;event probability;event qualitative aspect;event quantitative aspect;natural language front-end;pattern mapping;temporal logic;PSPWizard;unified pattern catalogue,,48.0,1.0,47.0,,3 Feb 2015,,,IEEE,IEEE Journals
810,811,OBEY: Optimal Batched Refactoring Plan Execution for Class Responsibility Redistribution,H. C. Jiau; L. W. Mar; J. C. Chen,"National Cheng Kung University, Tainan; National Cheng Kung University, Tainan; National Cheng Kung University, Tainan",IEEE Transactions on Software Engineering,28 Aug 2013,2013,39,9,1245,1263,"The redistribution of class responsibilities is a common reengineering practice in object-oriented (OO) software evolution. During the redistribution, developers frequently construct batched refactoring plans for moving multiple methods and fields among various classes. With an objective of carefully maintaining the cohesion and coupling degree of the class design, executing a batched refactoring plan without introducing any objective-violating side effect into the refactored code is essential. However, using most refactoring engines for batched refactoring plan execution introduces coupling-increasing Middle Man bad smell in the final refactored code and therefore makes the refactoring execution suboptimal in achieving the redistribution objective. This work proposes Obey, a methodology for optimal batched refactoring plan execution. Obey analyzes a batched refactoring plan, identifies Middle Man symptoms that cause suboptimal execution, and renovates the plan for optimal execution. We have conducted an empirical study on three open-source software projects to confirm the effectiveness of Obey in a practical context.",1939-3520,,10.1109/TSE.2013.19,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6493333,Reengineering;class responsibility redistribution;batched refactoring execution;change impact analysis;optimization,Couplings;Engines;Software systems;Measurement;Optimization;Context,object-oriented programming;software maintenance,OBEY methodology;optimal batched refactoring plan execution;class responsibility redistribution;software reengineering practice;object-oriented software evolution;OO software evolution;refactoring engine;coupling-increasing middle man bad smell;open-source software project,,7.0,,74.0,,3 Apr 2013,,,IEEE,IEEE Journals
811,812,Model Checking Probabilistic and Stochastic Extensions of the π-Calculus,G. Norman; C. Palamidessi; D. Parker; P. Wu,"Oxford University, Oxford; INRIA Saclay and École Polytechnique, Paris; Oxford University, Oxford; University College London, Ipswich",IEEE Transactions on Software Engineering,3 Apr 2009,2009,35,2,209,223,"We present an implementation of model checking for probabilistic and stochastic extensions of the pi-calculus, a process algebra which supports modelling of concurrency and mobility. Formal verification techniques for such extensions have clear applications in several domains, including mobile ad-hoc network protocols, probabilistic security protocols and biological pathways. Despite this, no implementation of automated verification exists. Building upon the pi-calculus model checker MMC, we first show an automated procedure for constructing the underlying semantic model of a probabilistic or stochastic pi-calculus process. This can then be verified using existing probabilistic model checkers such as PRISM. Secondly, we demonstrate how for processes of a specific structure a more efficient, compositional approach is applicable, which uses our extension of MMC on each parallel component of the system and then translates the results into a high-level modular description for the PRISM tool. The feasibility of our techniques is demonstrated through a number of case studies from the pi-calculus literature.",1939-3520,,10.1109/TSE.2008.77,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4626962,Model checking;Markov processes;Stochastic processes;Model checking;Markov processes;Stochastic processes,Stochastic processes;Biological system modeling;Protocols;Stochastic systems;Calculus;Algebra;Formal verification;Mobile ad hoc networks;Mobile communication;Communication system security,formal verification;pi calculus;probability;stochastic processes,model checking;probabilisty;stochastic extension;pi-calculus;process algebra;formal verification;mobile ad-hoc network protocol;probabilistic security protocol;biological pathway;semantic model;high-level modular description,,16.0,,43.0,,19 Sep 2008,,,IEEE,IEEE Journals
812,813,Pert: The Application-Aware Tailoring of Java Object Persistence,P. Liu; C. Zhang,"Hong Kong University of Science and Technology, Hong Kong; Hong Kong University of Science and Technology, Hong Kong",IEEE Transactions on Software Engineering,26 Jul 2012,2012,38,4,909,922,"Persistence is a widely used technique which allows the objects that represent the results of lengthy computations to outlive the process that creates it in order to considerably speed up subsequent program executions. We observe that conventional persistence techniques usually do not consider the application contexts of the persistence operations, where not all of the object states need to be persisted. Leveraging this observation, we have designed and implemented a framework called Pert, which first performs static program analysis to estimate the actual usage of the persisted object, given the context of its usage in the program. The Pert runtime uses the statically computed information to efficiently make tailoring decisions to prune the redundant and unused object states during the persistence operations. Our evaluation result shows that the Pert-based optimization can speed up the conventional persistence operations by 1 to 45 times. The amount of persisted data is also dramatically reduced, as the result of the application-aware tailoring.",1939-3520,,10.1109/TSE.2011.66,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5963692,Object persistence;program analysis;performance optimization,Runtime;Anodes;Optimization;Context;Libraries;Java;Algorithm design and analysis,Java;optimisation,application aware tailoring;Java object persistence;lengthy computations;subsequent program executions;persistence techniques;static program analysis;Pert based optimization,,2.0,,20.0,,28 Jul 2011,,,IEEE,IEEE Journals
813,814,QoS Assurance for Dynamic Reconfiguration of Component-Based Software Systems,W. Li,"Central Quneensland University, Rockhampton",IEEE Transactions on Software Engineering,29 May 2012,2012,38,3,658,676,"A major challenge of dynamic reconfiguration is Quality of Service (QoS) assurance, which is meant to reduce application disruption to the minimum for the system's transformation. However, this problem has not been well studied. This paper investigates the problem for component-based software systems from three points of view. First, the whole spectrum of QoS characteristics is defined. Second, the logical and physical requirements for QoS characteristics are analyzed and solutions to achieve them are proposed. Third, prior work is classified by QoS characteristics and then realized by abstract reconfiguration strategies. On this basis, quantitative evaluation of the QoS assurance abilities of existing work and our own approach is conducted through three steps. First, a proof-of-concept prototype called the reconfigurable component model is implemented to support the representation and testing of the reconfiguration strategies. Second, a reconfiguration benchmark is proposed to expose the whole spectrum of QoS problems. Third, each reconfiguration strategy is tested against the benchmark and the testing results are evaluated. The most important conclusion from our investigation is that the classified QoS characteristics can be fully achieved under some acceptable constraints.",1939-3520,,10.1109/TSE.2011.37,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5740932,Change management;componentware;dynamic reconfiguration;modeling the QoS assurance process;system evolution.,Quality of service;Encryption;Protocols;Connectors;Receivers;Benchmark testing,quality of service;software quality,QoS assurance;dynamic reconfiguration;component based software systems;Quality of Service;application disruption;physical requirements;logical requirements;abstract reconfiguration;quantitative evaluation;reconfigurable component;reconfiguration benchmark,,21.0,,39.0,,5 Apr 2011,,,IEEE,IEEE Journals
814,815,Aspect-Oriented Refactoring of Legacy Applications: An Evaluation,M. Mortensen; S. Ghosh; J. Bieman,"Google, Boulder; Colorado State University, Fort Collins; Colorado State University, Fort Collins",IEEE Transactions on Software Engineering,30 Jan 2012,2012,38,1,118,140,"The primary claimed benefits of aspect-oriented programming (AOP) are that it improves the understandability and maintainability of software applications by modularizing crosscutting concerns. Before there is widespread adoption of AOP, developers need further evidence of the actual benefits as well as costs. Applying AOP techniques to refactor legacy applications is one way to evaluate costs and benefits. We replace crosscutting concerns with aspects in three industrial applications to examine the effects on qualities that affect the maintainability of the applications. We study several revisions of each application, identifying crosscutting concerns in the initial revision and also crosscutting concerns that are added in later revisions. Aspect-oriented refactoring reduced code size and improved both change locality and concern diffusion. Costs include the effort required for application refactoring and aspect creation, as well as a decrease in performance.",1939-3520,,10.1109/TSE.2010.109,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5661792,Aspect-oriented programming;crosscutting concerns;legacy systems;refactoring;maintainability.,Software measurement;Maintenance engineering;Legacy systems;Java;Programming;Aspect-oriented programming,aspect-oriented programming;software maintenance,aspect-oriented refactoring;legacy applications;primary claimed benefits;aspect-oriented programming;software understandability;software maintainability;crosscutting concerns;AOP techniques;cost evaluation;benefits evaluation;code size;change locality;concern diffusion;application refactoring;aspect creation,,14.0,,37.0,,10 Dec 2010,,,IEEE,IEEE Journals
815,816,Counterexample Generation in Probabilistic Model Checking,T. Han; J. Katoen; D. Berteun,"RWTH Aachen University, Aachen and University of Twente, Enschede; RWTH Aachen University, Aachen and University of Twente, Enschede; RWTH Aachen University, Aachen and University of Twente, Enschede",IEEE Transactions on Software Engineering,3 Apr 2009,2009,35,2,241,257,"Providing evidence for the refutation of a property is an essential, if not the most important, feature of model checking. This paper considers algorithms for counterexample generation for probabilistic CTL formulae in discrete-time Markov chains. Finding the strongest evidence (i.e., the most probable path) violating a (bounded) until-formula is shown to be reducible to a single-source (hop-constrained) shortest path problem. Counterexamples of smallest size that deviate most from the required probability bound can be obtained by applying (small amendments to) k-shortest (hop-constrained) paths algorithms. These results can be extended to Markov chains with rewards, to LTL model checking, and are useful for Markov decision processes. Experimental results show that typically the size of a counterexample is excessive. To obtain much more compact representations, we present a simple algorithm to generate (minimal) regular expressions that can act as counterexamples. The feasibility of our approach is illustrated by means of two communication protocols: leader election in an anonymous ring network and the Crowds protocol.",1939-3520,,10.1109/TSE.2009.5,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4770111,Model checking;Diagnostics,Protocols;Logic;Biological system modeling;Quantum computing;Feedback;Biology computing;Distributed computing;Computer Society;Shortest path problem;Nominations and elections,decision theory;formal verification;Markov processes;probabilistic logic;probability;temporal logic;trees (mathematics),counterexample generation;probabilistic model checking;property refutation;discrete-time Markov chain;single-source shortest path problem;k-shortest path algorithm;Markov decision process;linear temporal logic;computation tree logic,,57.0,,61.0,,2 Feb 2009,,,IEEE,IEEE Journals
816,817,A Controlled Experiment for Evaluating the Impact of Coupling on the Maintainability of Service-Oriented Software,M. Perepletchikov; C. Ryan,"RMIT University, Melbourne; RMIT University, Melbourne",IEEE Transactions on Software Engineering,28 Jul 2011,2011,37,4,449,465,"One of the goals of Service-Oriented Computing (SOC) is to improve software maintainability as businesses become more agile, and thus underlying processes and rules change more frequently. This paper presents a controlled experiment examining the relationship between coupling in service-oriented designs, as measured using a recently proposed suite of SOC-specific coupling metrics and software maintainability in terms of the specific subcharacteristics of analyzability, changeability, and stability. The results indicate a statistically significant causal relationship between the investigated coupling metrics and the maintainability of service-oriented software. As such, the investigated metrics can facilitate coupling related design decisions with the aim of producing more maintainable service-oriented software products.",1939-3520,,10.1109/TSE.2010.61,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5482590,Services systems;design concepts;maintainability;product metrics;empirical studies.,Software maintenance;Programming;Software measurement;Logic;Software design;Stability analysis;Product design;Application software;Costs;Software metrics,service-oriented architecture;software maintenance;software metrics,software maintainability improvement;service-oriented computing;service-oriented designs;specific coupling metrics;specific subcharacteristics;statistically significant causal relationship;service-oriented software products,,28.0,,48.0,,7 Jun 2010,,,IEEE,IEEE Journals
817,818,AutoSense: A Framework for Automated Sensitivity Analysis of Program Data,B. Nongpoh; R. Ray; S. Dutta; A. Banerjee,"Department of Computer Science & Engineering, National Institute of Technology Meghalaya, Shillong, India; Department of Computer Science & Engineering, National Institute of Technology Meghalaya, Shillong, India; Department of Computer Science & Engineering, Jadavpur University, Kolkata, India; Advanced Computing and Microelectronics Unit, Indian Statistical Institute, Kolkata, India",IEEE Transactions on Software Engineering,8 Dec 2017,2017,43,12,1110,1124,"In recent times, approximate computing is being increasingly adopted across the computing stack, from algorithms to computing hardware, to gain energy and performance efficiency by trading accuracy within acceptable limits. Approximation aware programming languages have been proposed where programmers can annotate data with type qualifiers (e.g., precise and approx) to denote its reliability. However, programmers need to judiciously annotate so that the accuracy loss remains within the desired limits. This can be non-trivial for large applications where error resilient and non-resilient program data may not be easily identifiable. Mis-annotation of even one data as error resilient/insensitive may result in an unacceptable output. In this paper, we present AutoSense, a framework to automatically classify resilient (insensitive) program data versus the sensitive ones with probabilistic reliability guarantee. AutoSense implements a combination of dynamic and static analysis methods for data sensitivity analysis. The dynamic analysis is based on statistical hypothesis testing, while the static analysis is based on classical data flow analysis. Experimental results compare our automated data classification with reported manual annotations on popular benchmarks used in approximate computing literature. AutoSense achieves promising reliability results compared to manual annotations and earlier methods, as evident from the experimental results.",1939-3520,,10.1109/TSE.2017.2654251,National Institute of Technology Meghalaya and Visvesvaraya Ph.D. Scheme; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7820185,Approximate computing;sensitivity analysis;hypothesis testing;sequential probability ratio test,Quality of service;Sensitivity analysis;Approximate computing;Probabilistic logic;Sequential analysis,data flow analysis;pattern classification;probability;program diagnostics;program verification;sensitivity analysis;statistical analysis,approximate computing literature;AutoSense;automated sensitivity analysis;probabilistic reliability;energy efficiency;manual annotations;automated data classification;classical data flow analysis;dynamic analysis;data sensitivity analysis;static analysis;resilient program data;accuracy loss;approximation aware programming languages;trading accuracy;performance efficiency;computing hardware;computing stack,,4.0,,31.0,Traditional,17 Jan 2017,,,IEEE,IEEE Journals
