"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Improvement for the Rao-Blackwellized Particle Filters SLAM with MCMC Resampling","H. Wang; H. Liu; H. Ju; X. Li","Coll. of Electron. Inf. & Control Eng., Beijing Univ. of Technol., Beijing, China; Coll. of Electron. Inf. & Control Eng., Beijing Univ. of Technol., Beijing, China; Coll. of Electron. Inf. & Control Eng., Beijing Univ. of Technol., Beijing, China; Coll. of Electron. Inf. & Control Eng., Beijing Univ. of Technol., Beijing, China","2009 International Conference on Computational Intelligence and Software Engineering","28 Dec 2009","2009","","","1","4","The ability to simultaneously locate a robot and accurately map its surroundings is considered to be a key prerequisite of truly autonomous robots. Rao-Blackwellized particle filters simultaneous localization and mapping can produce accurate results but it has the tendency to become over-confident. In this paper, the analysis on consistency is presented. The methodology of the Markov Chain Monte Carlo resampling is incorporated to prevent particle impoverishment. The algorithms are evaluated on accuracy and consistency using computer simulation. Experimental results show that the increased diversity of particles can improve the accuracy as well as consistency of RBPF SLAM.","","978-1-4244-4507-3","10.1109/CISE.2009.5366761","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5366761","","Particle filters;Simultaneous localization and mapping;Robots;Monte Carlo methods;Uncertainty;Educational institutions;Control engineering;Computer simulation;Kernel;Sampling methods","Markov processes;Monte Carlo methods;particle filtering (numerical methods);SLAM (robots)","Rao-Blackwellized particle filters SLAM;MCMC resampling;autonomous robot;Markov chain Monte Carlo resampling;particle impoverishment prevention","","3","","10","","28 Dec 2009","","","IEEE","IEEE Conferences"
"An Adaptive Watermarking Algorithm Based on Block Kalman Filtering","B. Li; Y. Shi; H. Lv; J. Gao","Coll. of Software Eng., Pingdingshan Univ., Pingdingshan, China; Coll. of Software Eng., Pingdingshan Univ., Pingdingshan, China; Coll. of Software Eng., Pingdingshan Univ., Pingdingshan, China; Coll. of Software Eng., Pingdingshan Univ., Pingdingshan, China","2009 International Conference on Computational Intelligence and Software Engineering","28 Dec 2009","2009","","","1","4","To solve the security problems such as the illegal duplication, intentional alteration and copyright protection for digital images, this paper proposes a new adaptive paradigm for image watermarking based on the block Kalman filtering. The watermark was disturbed in terms of the logistic rule, and then divided into small blocks. The host image was partitioned into the same small blocks as the ones obtained above. Then, the Kalman filtering model was builded for the watermark blocks and the corresponding host blocks, and used to embed the watermark blocks into the host blocks. The original watermark can be obtained from the embedded hostimage by the inverse Kalman filtering. The proposed algorithm combines the advantages of the Kalman filtering and the benefits of chaos scrambling in order to guarantee the robustness of the watermark. Simulation results show that the proposed method is effective.","","978-1-4244-4507-3","10.1109/CISE.2009.5366148","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5366148","","Watermarking;Filtering algorithms;Kalman filters;Adaptive filters;Security;Copyright protection;Digital images;Digital filters;Logistics;Chaos","image coding;Kalman filters;watermarking","adaptive watermarking algorithm;block Kalman filtering;security problems;image watermarking;logistic rule;inverse Kalman filtering;chaos scrambling","","","","16","","28 Dec 2009","","","IEEE","IEEE Conferences"
"The Denoising and Trend Extraction Based on the Fusion Method of Wavelet and Emd","Z. Anbing; X. Liu; C. Shi","Hebei Univ. of Eng., Handan, China; Hebei Univ. of Eng., Handan, China; NA","2009 International Conference on Computational Intelligence and Software Engineering","28 Dec 2009","2009","","","1","4","Both wavelet algorithms and empirical mode decomposition (EMD) signal analysis method have strong power discriminate the signals from the noise, but the precision of denoise is affected by the end errors of EMD, the effect is more serious especially when the signal carries the information of the trend development. Based on the capability of orthogonal wavelet transform in de-noise, trend extract function of EMD and the characteristics of GPS errors, a new noise filter and trend extraction model is built up. Then, simulated data and real data (i.e., GPS data) are used to test the method separately. The following conclusions are drawn from these tests: (1) Orthogonal wavelet transform and EMD method can better mitigate the random errors which hide in periodic signal; (2) After significantly mitigating the influence of multi-path and others errors by the new model, the accuracy of vertical component position for GPS dynamic deformation can reach the mm level.","","978-1-4244-4507-3","10.1109/CISE.2009.5363240","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5363240","","Noise reduction;Global Positioning System;Wavelet coefficients;Wavelet transforms;Monitoring;Signal processing;Wavelet analysis;Data mining;Signal analysis;Filters","feature extraction;filtering theory;signal denoising;wavelet transforms","wavelet fusion method;empirical mode decomposition method;signal analysis method;signal denoising;orthogonal wavelet transform;GPS errors;noise filter;trend extraction model;EMD method;GPS dynamic deformation","","","","8","","28 Dec 2009","","","IEEE","IEEE Conferences"
"A Novel Multi-User Face Detection under Infrared Illumination by Real Adaboost","C. Yan; Y. Wang","Stereo Imaging Lab., Nanjing Univ., Nanjing, China; Stereo Imaging Lab., Nanjing Univ., Nanjing, China","2009 International Conference on Computational Intelligence and Software Engineering","28 Dec 2009","2009","","","1","6","Location and tracking the human faces is one of the critical technologies in free stereoscopic display system. But because of illumination variation or facial expression, it is difficult to detect human faces accurately and fast. In this paper, an infrared face detection based on real Adaboost algorithm and Cascade structure is implemented. With active infrared illumination, the problem caused by variation of illumination is almost solved, which makes the detection system more robust. Meanwhile, the combination of real Adaboost and Cascade structure pays more attention to the human faces which is more difficult to identify, making the detection quicker a lot. In the detection of video sequence, all human faces can be detected, and misdetection rarely appears. The average processing time on a windows XP, PIV 2.4 GHz PC is about 40 ms for a 640*480-pixel image. So the improved detection is real-time. In addition, experiment proves that the improved detection behaves better when there is variation of facial expression or a little degree leaning of human face. Obviously, the improved detection is more efficient and could be used widely.","","978-1-4244-4507-3","10.1109/CISE.2009.5366152","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5366152","","Face detection;Infrared detectors;Lighting;Classification algorithms;Humans;Infrared imaging;Laboratories;Optical imaging;Displays;Boosting","face recognition;infrared imaging;learning (artificial intelligence)","multiuser face detection;infrared illumination;real Adaboost structure;Cascade structure;free stereoscopic display system;video sequence detection","","","","12","","28 Dec 2009","","","IEEE","IEEE Conferences"
"Iterative Partial PIC for Convolutionally Coded Multi-Carrier DS-CDMA","G. Xu; Q. Liu","Sch. of Electron. Inf., Zhongyuan Univ. of Technol., Zhengzhou, China; Sch. of Electron. Inf., Zhongyuan Univ. of Technol., Zhengzhou, China","2009 International Conference on Computational Intelligence and Software Engineering","28 Dec 2009","2009","","","1","4","In this paper, we consider convolutionally coded multi-carrier DS-CDMA and propose turbo partial parallel interference cancellation (PPIC) and decoding, which is termed turbo PPIC/decoding. We make analysis and simulations for turbo PPIC/decoding by the computer. The simulation results shows that turbo PPIC/decoding, whether with a priori LLR feedback or with a posteriori LLR feedback, obtains the most dominant performance improvement for the first three iterations, but up to the fourth iteration, the performance improves little, and for the same number of iterations, turbo PPIC/decoding with a posteriori LLR feedback outperforms that with a priori LLR feedback in performance. We also compare turbo PPIC /decoding with turbo PIC/decoding which was previously discussed, which shows that Turbo PPIC /decoding is dominantly superior to Turbo PIC /decoding in performance.","","978-1-4244-4507-3","10.1109/CISE.2009.5366331","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5366331","","Convolutional codes;Multiaccess communication;Iterative decoding;Multiuser detection;Interference cancellation;Multiple access interference;Feedback;Convolution;Computational modeling;Modulation coding","code division multiple access;convolutional codes;interference suppression;iterative decoding;spread spectrum communication;turbo codes","iterative partial PIC;convolutional coded multicarrier DS-CDMA;Turbo partial parallel interference cancellation;decoding;a priori LLR feedback;a posteriori LLR feedback;direct sequence code division multiple access","","","","9","","28 Dec 2009","","","IEEE","IEEE Conferences"
"Higher Education Equity And Income Distribution: Theory Survey","H. Xing; L. Zhang; Y. Wang; Y. Zhang",NA; NA; NA; NA,"2009 International Conference on Computational Intelligence and Software Engineering","28 Dec 2009","2009","","","1","4","Through building a socialist ""harmonious society"" is becoming the highlight for current theoretical studies and the direction of practice, the issue of growing income distance attracts wide attentions. Some studies have shown that higher education equity makes a considerable impact on income distribution. Therefore, the relationship between higher education equity and income distribution has become a hot issue to domestic and foreign scholars. So the paper firstly reviews the origin and development of the educational capital (human capital), followed by the introduction of some important results of higher education equity and income distribution; secondly, it focuses on the relationship between education equity and income distribution. Finally, it summarizes some researches about higher education equity and income distribution, and points out that the future direction we should focus on.","","978-1-4244-4507-3","10.1109/CISE.2009.5363558","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5363558","","Humans;Investments;Educational products;Equal opportunities;Technology management;Educational technology;Decision making;Helium;Government;Proposals","economics;engineering education;investment","higher education equity;income distribution;socialist harmonious society;educational capital;human capital investment method;foreign scholars;domestic scholars","","","","22","","28 Dec 2009","","","IEEE","IEEE Conferences"
"The Investigation of Image Mining Framework","C. Yu; H. Xia","Coll. of Comput. Sci. & Technol., WUHAN Univ. of Technol., Wuhan, China; Coll. of Comput. Sci. & Technol., WUHAN Univ. of Technol., Wuhan, China","2009 International Conference on Computational Intelligence and Software Engineering","28 Dec 2009","2009","","","1","4","Image and data mining is a new theory and technology. Through the investigation of information-driven image mining framework model and function-driven image mining framework model, we can discover the each strongpoint and deficiency. In this case, the paper brings forward a new framework model which is much simpler and more applied than before. The characteristic of this model is all the former approaches, models or the episteme can be used in the course of remounting of image mining, besides, users can learn or renew the domain knowledge by image sample training and alternating learning.","","978-1-4244-4507-3","10.1109/CISE.2009.5363383","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5363383","","Data mining;Image storage;Multimedia databases;Educational institutions;Computer science;Space technology;Search engines;Multimedia systems;Aggregates;Image processing","data mining;image processing","data mining;function driven image mining framework model;image sample alternating learning","","","","5","","28 Dec 2009","","","IEEE","IEEE Conferences"
"A Hybrid Optimization Method Based on Genetic Algorithm for Magnetotelluric Inverse Problem","X. -z. Tong; J. -x. Liu; Y. Sun; W. -t. Lei; L. -h. Xu",NA; NA; NA; NA; NA,"2009 International Conference on Computational Intelligence and Software Engineering","28 Dec 2009","2009","","","1","4","Genetic algorithm, one of the new methods for global non-linear optimization problem, has been applied in magnetotelluric data analysis. In this paper, the magnetotelluric inverse problem was studied by a hybrid genetic algorithm, which was based on the combination of simplex method and genetic algorithm. The standard genetic algorithm has poor local search ability, large amounts of calculation, and adaptability to large space. On the other hand, simplex method based on local linearization is usually lost in local minimum values. So a new method was put forward through a promoted simplex operator embedded into genetic algorithm and the strategy was adopted to keep the group of best individuals. The new algorithm has not only the global of genetic algorithm, but also the fast convergence of the simplex algorithm. The inversion results of synthetic magnetotelluric data shows that the algorithm possesses advantages of expediting convergence, avoiding earliness and improving precision.","","978-1-4244-4507-3","10.1109/CISE.2009.5363562","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5363562","","Optimization methods;Genetic algorithms;Inverse problems;Convergence;Genetic mutations;Biological cells;Surface fitting;Sun;Data engineering;Genetic engineering","data analysis;genetic algorithms;geophysics computing;inverse problems;magnetotellurics","genetic algorithm;magnetotelluric inverse problem;global nonlinear optimization;data analysis","","1","","11","","28 Dec 2009","","","IEEE","IEEE Conferences"
"GPU Implementation for Wilson-θ Method","J. Xia; D. Wei","Dept. of Civil Eng., South China Univ. of Technol., Guangzhou, China; Dept. of Civil Eng., South China Univ. of Technol., Guangzhou, China","2009 International Conference on Computational Intelligence and Software Engineering","28 Dec 2009","2009","","","1","4","The GPU implementation for Wilson-θ method computing the dynamic response of structures is presented. We use a four-channel, two-dimensional texture to represent a matrix and a vector, and present a new texture reduction algorithm not requiring the texture size be the power of 2. A GPU based algorithm for solving the inverse of a matrix is also presented, where the aforementioned reduction algorithm is used to search the full pivot and the pivot's row and column indices. GPU is used to accelerate the computations for the inverse of the effective stiffness matrix and the acceleration, velocity and displacement of the structure at every time step. The computations are compared against those on the CPU, proving the proposed GPU based algorithms have good accuracy and fast running time.","","978-1-4244-4507-3","10.1109/CISE.2009.5366649","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5366649","GPU;texture reducing;Wilson-θ method;solving inverse matrix on the GPU","Acceleration;Computational modeling;Central Processing Unit;Computer graphics;Fluid dynamics;Civil engineering;Power engineering computing;Thermal conductivity;Educational institutions;Water resources","computer graphic equipment;dynamic response;matrix algebra;vectors","GPU implementation;dynamic response;matrix representation;vector;stiffness matrix;Wilson-θ method","","","","15","","28 Dec 2009","","","IEEE","IEEE Conferences"
"The Design of LHCD Phase Control System Based on QNX Operating System","Y. Yang; J. Shan; D. Wang; Q. Liu","Inst. of Plasma Phys., Chinese Acad. of Sci., Hefei, China; Inst. of Plasma Phys., Chinese Acad. of Sci., Hefei, China; Inst. of Plasma Phys., Chinese Acad. of Sci., Hefei, China; Dept. of Modern Phys., Univ. of Sci. & Technol. of China, Hefei, China","2009 International Conference on Computational Intelligence and Software Engineering","28 Dec 2009","2009","","","1","4","The LHCD phase control system is designed to study plasma physics on the EAST tokamak. The I/Q method with AD8302 is applied to the system for measuring the signals' phase difference and FPGA chips are used to compute and communicate. The application software including the driver of PCI card is designed under the QNX RTOS and the MDSplus database is used to store and manage the phase data. Besides, the correctness and reliability of the system have been proved by experiments.","","978-1-4244-4507-3","10.1109/CISE.2009.5365917","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5365917","","Phase control;Operating systems;Plasma measurements;Plasma applications;Physics;Tokamaks;Q measurement;Phase measurement;Semiconductor device measurement;Field programmable gate arrays","control engineering computing;field programmable gate arrays;operating systems (computers);phase control;Tokamak devices","LHCD phase control system design;QNX operating system;plasma physics;signal phase difference;FPGA chips;PCI card;MDSplus database;QNX RTOS;lower hybrid current drive system","","2","","11","","28 Dec 2009","","","IEEE","IEEE Conferences"
"A New Video Image Edge Detection Approach","S. Li; X. Jiang; X. Feng; Y. Yang","Sch. of Inf. & Electr. Eng., China Univ. of Min. & Technol., Xuzhou, China; Sch. of Inf. & Electr. Eng., China Univ. of Min. & Technol., Xuzhou, China; Sch. of Inf. & Electr. Eng., China Univ. of Min. & Technol., Xuzhou, China; Sch. of Inf. & Electr. Eng., China Univ. of Min. & Technol., Xuzhou, China","2009 International Conference on Computational Intelligence and Software Engineering","28 Dec 2009","2009","","","1","4","Edge detection is an important pretreatment process in image processing and computer vision. But it is still a challenge on how to get edge information efficiently in video image processing. In this paper, firstly, we analyze several traditional operators and then suggest an improved operator based on Isotropic Sobel operator. Secondly, in order to get a better performance in video image processing, we suggest a new video image edge detecting approach which combines DSP/BIOS and the improved operator based on DM642. The experimental results show that the new approach remains advantages of traditional operators, meanwhile, it can reduce the effect of objects' moving and has a fine detecting effect in video image processing.","","978-1-4244-4507-3","10.1109/CISE.2009.5364473","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5364473","","Image edge detection;Convolution;Digital signal processing;Image processing;Laplace equations;Pixel;Digital signal processors;Signal processing algorithms;Delay;Computer vision","computer vision;digital signal processing chips;edge detection;video signal processing","video image edge detection approach;image processing pretreatment process;computer vision;video image processing;isotropic Sobel operator;DSP/BIOS approach;DM642 operator","","","","9","","28 Dec 2009","","","IEEE","IEEE Conferences"
"An Assorted Dynamic Job-Shop Scheduling Algorithm Based on Impact Degree","C. Song","Software Inst., Dalian Jiaotong Univ., Dalian, China","2009 International Conference on Computational Intelligence and Software Engineering","28 Dec 2009","2009","","","1","5","An assorted dynamic job-shop scheduling algorithm based on impact degree is proposed in this paper. According to the craft's constraint relations among jobs to be processed, the craft trees are drawn first, there will be N or more than N craft trees for N-jobs, and then the length of each craft tree's critical path should be calculated. The longer the craft tree is, the more influence the craft tree will exert on the makespan, thus advancing the formula of impact degree. In terms of the impact degree, the craft tree can be classified into two sets: the first set and the second set. For the first set, the job is scheduled based on the priority schedule strategy whereas for the second set, the job is scheduled by adopting first fit insertion strategy on the basis of the scheduling results of the first set. This algorithm also takes into consideration the occurrence of emergencies by proposing the strategy of dynamic scheduling. The algorithm is efficient and very adaptable, so excellent results for solving dynamic job-shop scheduling problems can be achieved which has been and will be validated by experiments.","","978-1-4244-4507-3","10.1109/CISE.2009.5365563","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5365563","","Scheduling algorithm;Explosions;Automatic testing;Artificial intelligence;Graphical user interfaces;Physics;Arithmetic;Application software;Electronic mail;Optical computing","dynamic scheduling;job shop scheduling","assorted dynamic job-shop scheduling;impact degree;craft trees","","","","7","","28 Dec 2009","","","IEEE","IEEE Conferences"
"Power Factor Improvement in Industrial Facilities Using Fuzzy Logic Excitation Control of Synchronous Motor","H. Xu; C. Wang","China Univ. of Min. & Technol. (Beijing), Beijing, China; China Univ. of Min. & Technol. (Beijing), Beijing, China","2009 International Conference on Computational Intelligence and Software Engineering","28 Dec 2009","2009","","","1","4","A new fuzzy logic (FL) controller using the TSK technique that will manipulate an AC synchronous motor to produce reactive power to bring the entire system to the optimum operating point is presented. The FL controller performs adequately both rapid and slow changing load condition.The FL controller performance was highly satisfactory in tracking and improving the plant PF to achieve the set point, just like a proportional integral derivative (PID) controller. The FL controller in conjunction with a synchronous motor represents a new practical method to take advantage of facility synchronous motor loads by dynamically monitoring plant electrical parameters and automatically bringing the over system to the optimum operating point, and could some day be implemented in an industrial plant environment that may require PF improvement with a high degree of accuracy.","","978-1-4244-4507-3","10.1109/CISE.2009.5365129","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5365129","","Reactive power;Industrial plants;Fuzzy logic;Synchronous motors;PD control;Pi control;Proportional control;Control systems;Automatic control;Reactive power control","fuzzy control;machine control;power factor;synchronous motors","power factor improvement;industrial facilities;fuzzy logic excitation control;AC synchronous motor;reactive power;proportional integral derivative;PID controller","","1","","8","","28 Dec 2009","","","IEEE","IEEE Conferences"
"Estimation of Deformation Degree with Uncertainty and Missing Data","Y. Wang; J. Zheng; Y. Wang; X. Shi","Fac. of Inf. & Electron., Zhejiang Sci-Tech Univ., Hangzhou, China; Fac. of Inf. & Electron., Zhejiang Sci-Tech Univ., Hangzhou, China; Fac. of Inf. & Electron., Zhejiang Sci-Tech Univ., Hangzhou, China; Fac. of Inf. & Electron., Zhejiang Sci-Tech Univ., Hangzhou, China","2009 International Conference on Computational Intelligence and Software Engineering","28 Dec 2009","2009","","","1","4","In this paper we propose an approach to estimating the deformation degree of a non-rigid shape from monocular image sequence with uncertainty and missing data. The non-rigid shape can be represented as a weighted combination of K rigid basis shapes. Since K denotes the number of basis shapes that can represent the shape sequence, it provides a measure of deformation degree of the shape sequence. K is computed from the tracked positions of a sequence of non-rigid shapes by using rank analysis method. It is well known that the uncertainty of tracked position depends on the underlying spatial intensity structure in the image, which has strong directionality. Hence, the factor of directional uncertainty is taken into account in our deformation degree estimation method. In order to cope with the missing data problem, ¿-ß-¿ filter-based visual tracking is proposed to track the motion of feature points between the consecutive image frames and recover the missing points. Experimental results from real image sequences demonstrate the feasibility of the proposed approach.","","978-1-4244-4507-3","10.1109/CISE.2009.5366653","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5366653","","Uncertainty;Image sequences;Shape measurement;Tracking;Cameras;Informatics;Image sequence analysis;Computer vision;Noise shaping;Statistics","image sequences","deformation degree estimation;monocular image sequence;shape sequences;nonrigid shapes;rank analysis method;spatial intensity structure;directional uncertainty;missing data problem;¿-ß-¿ filter-based visual tracking","","","","10","","28 Dec 2009","","","IEEE","IEEE Conferences"
"A Disaggregate Model of Traffic Mode Split Forecast for Public Events","L. -j. Xu; B. Wang; W. -b. Zhang","Sch. of Transp., Wuhan Univ. of Technol., Wuhan, China; Sch. of Transp., Wuhan Univ. of Technol., Wuhan, China; Sch. of Transp., Wuhan Univ. of Technol., Wuhan, China","2009 International Conference on Computational Intelligence and Software Engineering","28 Dec 2009","2009","","","1","4","In order to analyze the effect of typical public events on the urban traffic behaviors, this paper firstly studied the factors of traffic mode choice and their interaction at macroscopic and microcosmic angles. Then according to the traffic characteristic and scope of public events, a disaggregate model of traffic mode choice was set up. Finally, the model was applied in the case of split ratio forecast for traffic mode in inauguration of the 6th urban sports meeting, which was held in Wuhan in 2007. Researches indicated that the forecasting result conformed to the actual transportation demand.","","978-1-4244-4507-3","10.1109/CISE.2009.5363132","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5363132","","Predictive models;Traffic control;Demand forecasting;Vehicles;Cities and towns;Costs;Technology forecasting;Electronic mail;Road transportation;Assembly systems","forecasting theory;traffic","disaggregate model;traffic mode split forecast;public events;urban traffic behaviors;macroscopic angle;microcosmic angle;traffic characteristic;traffic mode choice;urban sports meeting;transportation demand","","","","12","","28 Dec 2009","","","IEEE","IEEE Conferences"
"License Plate Extraction Based on Vertical Edge Detection and Mathematical Morphology","Y. Qiu; M. Sun; W. Zhou","Dept. of Autom., Shanghai Jiao Tong Univ., Shanghai, China; Dept. of Autom., Shanghai Jiao Tong Univ., Shanghai, China; Software Eng. Inst., East China Normal Univ., Shanghai, China","2009 International Conference on Computational Intelligence and Software Engineering","28 Dec 2009","2009","","","1","5","License plate recognition plays an important role in intelligent transport system; however, plate region extraction is the key step before the final recognition. In this paper, an effective license plate extraction algorithm based on vertical edge detection and mathematical morphology is proposed, which can exactly extract the plate from complex background. The proposed algorithm mainly consists of two modules: license plate region's rough detection and license plate accurate detection. The former aims to find out region of interest (ROI) through a sequence of steps including vertical edge detection, edge detection and mathematical morphology, while the latter analyzes the ROI by taking full advantage of outer shape feature and inner texture feature of license plate. Experiments have been conducted for this algorithm. 400 images taken from various scenes were employed, including diverse angles, different lightening conditions, etc. The proposed algorithm can detect the region of license plate quickly with 98.1 percent accuracy.","","978-1-4244-4507-3","10.1109/CISE.2009.5364222","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5364222","","Licenses;Image edge detection;Morphology;Gray-scale;Intelligent systems;Image texture analysis;Shape;Sun;Automation;Image sequence analysis","edge detection;feature extraction;mathematical morphology;traffic engineering computing","vertical edge detection;mathematical morphology;license plate recognition;intelligent transport system;plate region extraction;license plate extraction algorithm;license plate region rough detection;license plate accurate detection;region of interest","","17","","11","","28 Dec 2009","","","IEEE","IEEE Conferences"
"The Problem of the Design of the Energy-Efficient Central Air-Conditioning System","S. Tan; C. Dong; J. Wu; J. Xiang","Xi'an Res. Inst. of Hi-Tech, Xi'an, China; Xi'an Res. Inst. of Hi-Tech, Xi'an, China; NA; Xi'an Res. Inst. of Hi-Tech, Xi'an, China","2009 International Conference on Computational Intelligence and Software Engineering","28 Dec 2009","2009","","","1","4","In this paper, a new control strategy is proposed which is about the problem of the design of the energy-efficient central air-conditioning system. Based on the conservation of energy, the model of the people flow and the predicted model of temperature are derived; the gray prediction model GM(1, 1) is applied to predict the error value at the next time of the error sequence, and the value is taken as the correction of the priori information to predict the value of the cooling load at the next moment, and the normal cooling load can be obtained. Base on the normal cooling load, the control technology can make the air-conditioning more efficient and energy-saving.","","978-1-4244-4507-3","10.1109/CISE.2009.5364401","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5364401","","Energy efficiency;Central air conditioning;Water heating;Cooling;Centralized control;Predictive models;Temperature control;Heat pumps;Resistance heating;Control systems","air conditioning;cooling;curve fitting;energy conservation;energy consumption","energy-efficient central air-conditioning system;flow control strategy;energy conservation;people flow;gray prediction model;error sequence;cooling load;control technology;curve fitting","","1","","8","","28 Dec 2009","","","IEEE","IEEE Conferences"
"The Research of Host Load Predictions in Grid","T. Yang; T. Yi; H. Tao","Software Technol. Center, Chongqing Univ. of Posts & Telecommun., Chongqing, China; Software Technol. Center, Chongqing Univ. of Posts & Telecommun., Chongqing, China; Software Technol. Center, Chongqing Univ. of Posts & Telecommun., Chongqing, China","2009 International Conference on Computational Intelligence and Software Engineering","28 Dec 2009","2009","","","1","4","According to the statistical characteristics of host load in the grid environment, we adopt fractal interpolation method to predict the future host load by the self-similarity and long-range dependence of host load. We simulate the prediction algorithm about the host load and evaluate the prediction performance by calculating the prediction evaluation indexes. And we analyze and compare prediction precision of our algorithm with AR(16) and ""Patterns method"". And finally find that fractal interpolation method is better than the other two algorithms on the performance of the grid environment.","","978-1-4244-4507-3","10.1109/CISE.2009.5366044","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5366044","","Interpolation;Fractals;Monitoring;Sampling methods;Algorithm design and analysis;Predictive models;Prediction algorithms;Pattern analysis;Frequency;Research and development","grid computing;interpolation","host load prediction;grid environment;fractal interpolation method;prediction evaluation index;AR16 algorithm;patterns method algorithm","","","","5","","28 Dec 2009","","","IEEE","IEEE Conferences"
"Exploring the Logic and Developing New Classification Methods in Attribute Hierarchy Model","M. Mao; S. Ding","Coll. of Psychol., Jiang Xi Normal Univ., Nanchang, China; Coll. of Comput. Inf. Eng., Jiang Xi Normal Univ., Nanchang, China","2009 International Conference on Computational Intelligence and Software Engineering","28 Dec 2009","2009","","","1","4","Two new similarity indexes are introduced to explain the logic behind the classification methods A and B with attribute hierarchy model. Several kinds of new classification methods proposed are based on variations of the similarity between the expected response pattern and the observed response pattern. The results of simulation indicate that the new methods are better than methods A and B. And with the slips increasing the advantage is especially obvious.","","978-1-4244-4507-3","10.1109/CISE.2009.5365312","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5365312","","Logic;Enterprise resource planning;Testing;Educational institutions;Probability;Psychology;Computational modeling;Pattern matching;Logistics","pattern classification","classification methods;attribute hierarchy model;similarity indexes;expected response pattern;observed response pattern","","1","","6","","28 Dec 2009","","","IEEE","IEEE Conferences"
"Modified Differential Evolution for Hard Constrained Optimization","C. Deng; B. Zhao; A. Deng; C. Liang","Sch. of Inf. Sci. & Technol., Jiujiang Univ., Jiujiang, China; Sch. of Inf. Sci. & Technol., Jiujiang Univ., Jiujiang, China; Sch. of Inf. Sci. & Technol., Jiujiang Univ., Jiujiang, China; Inst. of Comput. Network Syst., Hefei Univ. of Technol., Hefei, China","2009 International Conference on Computational Intelligence and Software Engineering","28 Dec 2009","2009","","","1","4","Hard constrained optimization problems in science and engineering are common computationally very expensive. This leads to serious impediment to the successful application of evolutionary optimization techniques. A modified Differential Evolution with hybrid mutation and new selection rules was proposed to solve the hard constrained optimization problem. The hybrid mutation is the linear combination of two different traditional mutations schemes using simulated annealing way. The new selection rule can handle the constraints directly without choosing the penalty factors difficultly. The simulation results on the Bump function show it is effective and robust way for solving the hard constrained optimization.","","978-1-4244-4507-3","10.1109/CISE.2009.5366402","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5366402","","Constraint optimization;Genetic mutations;Evolutionary computation;Cities and towns;Simulated annealing;Information science;Impedance;Application software;Computer networks;Computational modeling","evolutionary computation;simulated annealing","modified differential evolution;hard constrained optimization;evolutionary optimization techniques;hybrid mutation;simulated annealing;Bump function","","1","","7","","28 Dec 2009","","","IEEE","IEEE Conferences"
