"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"How Developers Choose Names","D. Feitelson; A. Mizrahi; N. Noy; A. Ben Shabat; O. Eliyahu; R. Sheffer","Department of Computer Science, Hebrew University of Jerusalem, 26742 Jerusalem, - Israel (e-mail: feit@cs.huji.ac.il); Department of Computer Science, Hebrew University of Jerusalem, 26742 Jerusalem, - Israel (e-mail: ayelet.mizrahi@mail.huji.ac.il); Department of Computer Science, Hebrew University of Jerusalem, 26742 Jerusalem, - Israel (e-mail: nofar.noy@mail.huji.ac.il); Department of Computer Science, Hebrew University of Jerusalem, 26742 Jerusalem, - Israel (e-mail: aviad.benshabat@mail.huji.ac.il); Department of Computer Science, Hebrew University of Jerusalem, 26742 Jerusalem, - Israel (e-mail: or.eliyahu@mail.huji.ac.il); Department of Computer Science, Hebrew University of Jerusalem, 26742 Jerusalem, - Israel (e-mail: roysheffer7@gmail.com)","IEEE Transactions on Software Engineering","","2020","PP","99","1","1","The names of variables and functions serve as implicit documentation and are instrumental for program comprehension. But choosing good meaningful names is hard. We perform a sequence of experiments in which a total of 334 subjects are required to choose names in given programming scenarios. The first experiment shows that the probability that two developers would select the same name is low: in the 47 instances in our experiments the median probability was only 6.9%. At the same time, given that a specific name is chosen, it is usually understood by the majority of developers. Analysis of the names given in the experiment suggests a model where naming is a (not necessarily cognizant or serial) three-step process: (1) selecting the concepts to include in the name, (2) choosing the words to represent each concept, and (3) constructing a name using these words. A followup experiment, using the same experimental setup, then checked whether using this model explicitly can improve the quality of names. The results were that names selected by subjects using the model were judged by two independent judges to be superior to names chosen in the original experiment by a ratio of two-to-one. Using the model appears to encourage the use of more concepts and longer names.","1939-3520","","10.1109/TSE.2020.2976920","Israel Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9018121","variable naming;code comprehension","Programming profession;Documentation;Natural languages;Unified modeling language","","","","","","","","28 Feb 2020","","","IEEE","IEEE Early Access Articles"
"Service Candidate Identification from Monolithic Systems Based on Execution Traces","W. Jin; T. Liu; Y. Cai; R. Kazman; R. Mo; Q. Zheng","Ministry of Education Key Laboratory of Intelligent Networks and Network Security (MOEKLINNS), Xi'an Jiaotong University, Xian, Shaanxi, China; Ministry of Education Key Laboratory of Intelligent Networks and Network Security (MOEKLINNS), Xi'an Jiaotong University, Xian, Shaanxi, China; Department of Computer Science, Drexel University, Philadelphia, PA, USA; Department of Information Technology Management, University of Hawaii, Honolulu, HI, USA; Department of Computer Science, Drexel University, Philadelphia, PA, USA; Ministry of Education Key Laboratory of Intelligent Networks and Network Security (MOEKLINNS), Xi'an Jiaotong University, Xian, Shaanxi, China","IEEE Transactions on Software Engineering","13 May 2021","2021","47","5","987","1007","Monolithic systems increasingly suffer from maintainability and scalability issues as they grow in functionality, size, and complexity. It is widely believed that (micro)service-based architectures can alleviate these problems as each service is supposed to have the following characteristics: clearly defined functionality, sufficient modularity, and the ability to evolve independently. Industrial practices show that service extraction from a legacy monolithic system is labor-intensive and complex. Existing work on service candidate identification aims to group entities of a monolithic system into potential service candidates, but this process has two major challenges: first, it is difficult to extract service candidates with consistent quality; second, it is hard to evaluate the identified service candidates regarding the above three characteristics. To address these challenges, this paper proposes the Functionality-oriented Service Candidate Identification (FoSCI) framework to identify service candidates from a monolithic system. Our approach is to record the monolith's execution traces, and extract services candidates using a search-based functional atom grouping algorithm. We also contribute a comprehensive service candidate evaluation suite that uses interface information, structural/conceptual dependency, and commit history. This evaluation system consists of 8 metrics, measuring functionality, modularity, and evolvability respectively of identified service candidates. We compare FoSCI with three existing methods, using 6 widely-used open-source projects as our evaluation subjects. Our results show that FoSCI outperforms existing methods in most measures.","1939-3520","","10.1109/TSE.2019.2910531","National Key Research and Development Program of China; National Natural Science Foundation of China; Ministry of Education Innovation Research Team; National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8686152","Microservice;monolith decomposition;service candidate;execution trace;functionality;modularity;evolvability","Software;Atomic measurements;Frequency measurement;Testing;Computer architecture;History","","","","7","","52","IEEE","11 Apr 2019","","","IEEE","IEEE Journals"
"Semantic Learning and Emulation Based Cross-platform Binary Vulnerability Seeker","J. Gao; Y. Jiang; Z. Liu; X. Yang; C. Wang; X. Jiao; Z. Yang; J. Sun","School of Software, Institute of Software System and Engineering, Beijing, Beijing China (e-mail: gaojian094@gmail.com); Dept.CST, Tsinghua university, Beijing, Beijing China 100084 (e-mail: jiangyu198964@126.com); College of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics, 47854 Nanjing, Jiangsu China (e-mail: zhe.liu@nuaa.edu.cn); School of Software, Institute of Software System and Engineering, Beijing, Beijing China (e-mail: yangx16@mails.tsinghua.edu.cn); School of Software, Institute of Software System and Engineering, Beijing, Beijing China (e-mail: wangcong15@mails.tsinghua.edu.cn); Computer Science and Engineering, ucsd, Sandiego, California United States (e-mail: xujiao@eng.ucsd.edu); Computer Science, Western Michigan University, Kalamazoo, Michigan United States 49008 (e-mail: zijiang.yang@wmich.edu); School of Software, Tsinghua University, Beijing 100084, Beijing China (e-mail: sunjg@tsinghua.edu.cn)","IEEE Transactions on Software Engineering","","2019","PP","99","1","1","Clone detection is widely exploited for software vulnerability search. The approaches based on source code analysis cannot be applied to binary clone detection because the same source code can produce significantly different binaries due to different operating systems, microprocessor architectures and compilers. In this paper, we present BinSeeker, a cross-platform binary seeker that integrates semantic learning and emulation. With the help of the labeled semantic flow graph, BinSeeker can quickly identify M candidate functions that are most similar to the vulnerability from the target binary. The value of M is relatively large so this semantic learning procedure essentially eliminates those functions that are very unlikely to have the vulnerability. Then, semantic emulation is conducted on these M candidates to obtain their dynamic signature sequences. By comparing signature sequences, BinSeeker produces top-N functions that exhibit most similar behavior to that of the vulnerability. With fast filtering of semantic learning and accurate comparison of semantic emulation, BinSeeker seeks vulnerability precisely with little overhead. The experiments on six widely used programs with fifteen known CVE vulnerabilities demonstrate that BinSeeker outperforms three state-of-the-art tools Genius, Gemini and CACompare.","1939-3520","","10.1109/TSE.2019.2956932","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8918305","semantic emulation;semantic learning;cross-platform binary;vulnerability search;neural network","Drilling machines;Process control;Automation;Rocks;Tools","","","","1","","","","2 Dec 2019","","","IEEE","IEEE Early Access Articles"
"Today Was a Good Day: The Daily Life of Software Developers","A. N. Meyer; E. T. Barr; C. Bird; T. Zimmermann","Department of Informatics, University of Zurich, Zürich, Switzerland; University College London, London, United Kingdom; Microsoft Research, Redmond, WA, USA; Microsoft Research, Redmond, WA, USA","IEEE Transactions on Software Engineering","13 May 2021","2021","47","5","863","880","What is a good workday for a software developer? What is a typical workday? We seek to answer these two questions to learn how to make good days typical. Concretely, answering these questions will help to optimize development processes and select tools that increase job satisfaction and productivity. Our work adds to a large body of research on how software developers spend their time. We report the results from 5,971 responses of professional developers at Microsoft, who reflected about what made their workdays good and typical, and self-reported about how they spent their time on various activities at work. We developed conceptual frameworks to help define and characterize developer workdays from two new perspectives: good and typical. Our analysis confirms some findings in previous work, including the fact that developers actually spend little time on development and developers’ aversion for meetings and interruptions. It also discovered new findings, such as that only 1.7 percent of survey responses mentioned emails as a reason for a bad workday, and that meetings and interruptions are only unproductive during development phases; during phases of planning, specification and release, they are common and constructive. One key finding is the importance of agency, developers’ control over their workday and whether it goes as planned or is disrupted by external factors. We present actionable recommendations for researchers and managers to prioritize process and tool improvements that make good workdays typical. For instance, in light of our finding on the importance of agency, we recommend that, where possible, managers empower developers to choose their tools and tasks.","1939-3520","","10.1109/TSE.2019.2904957","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8666786","Software developer workdays;productivity;job satisfaction;good workdays;typical workdays;quantified workplace","Software;Productivity;Task analysis;Encoding;Tools;Collaboration;Birds","","","","4","","111","IEEE","13 Mar 2019","","","IEEE","IEEE Journals"
"Automatic Generation of Tests to Exploit XML Injection Vulnerabilities in Web Applications","S. Jan; A. Panichella; A. Arcuri; L. Briand","University of Luxembourg, Esch-sur-Alzette, Luxembourg; University of Luxembourg, Esch-sur-Alzette, Luxembourg; University of Luxembourg, Esch-sur-Alzette, Luxembourg; University of Luxembourg, Esch-sur-Alzette, Luxembourg","IEEE Transactions on Software Engineering","16 Apr 2019","2019","45","4","335","362","Modern enterprise systems can be composed of many web services (e.g., SOAP and RESTful). Users of such systems might not have direct access to those services, and rather interact with them through a single-entry point which provides a GUI (e.g., a web page or a mobile app). Although the interactions with such entry point might be secure, a hacker could trick such systems to send malicious inputs to those internal web services. A typical example is XML injection targeting SOAP communications. Previous work has shown that it is possible to automatically generate such kind of attacks using search-based techniques. In this paper, we improve upon previous results by providing more efficient techniques to generate such attacks. In particular, we investigate four different algorithms and two different fitness functions. A large empirical study, involving also two industrial systems, shows that our technique is effective at automatically generating XML injection attacks.","1939-3520","","10.1109/TSE.2017.2778711","European Research Council (ERC); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8125155","Evolutionary testing;XML injection;security testing","XML;Simple object access protocol;Testing;Service-oriented architecture","business data processing;graphical user interfaces;mobile computing;security of data;Web services;XML","search-based techniques;industrial systems;XML injection attacks;XML injection vulnerabilities;modern enterprise systems;single-entry point;mobile app;hacker;malicious inputs;SOAP communications;fitness functions;GUI;internal Web services;Web page;Web applications","","2","","71","","30 Nov 2017","","","IEEE","IEEE Journals"
"Observation-Enhanced QoS Analysis of Component-Based Systems","C. Paterson; R. Calinescu","Department of Computer Science, University of York, Heslington, York, United Kingdom; Department of Computer Science, University of York, Heslington, York, United Kingdom","IEEE Transactions on Software Engineering","14 May 2020","2020","46","5","526","548","We present a new method for the accurate analysis of the quality-of-service (QoS) properties of component-based systems. Our method takes as input a QoS property of interest and a high-level continuous-time Markov chain (CTMC) model of the analysed system, and refines this CTMC based on observations of the execution times of the system components. The refined CTMC can then be analysed with existing probabilistic model checkers to accurately predict the value of the QoS property. The paper describes the theoretical foundation underlying this model refinement, the tool we developed to automate it, and two case studies that apply our QoS analysis method to a service-based system implemented using public web services and to an IT support system at a large university, respectively. Our experiments show that traditional CTMC-based QoS analysis can produce highly inaccurate results and may lead to invalid engineering and business decisions. In contrast, our new method reduced QoS analysis errors by 84.4-89.6 percent for the service-based system and by 94.7-97 percent for the IT support system, significantly lowering the risk of such invalid decisions.","1939-3520","","10.1109/TSE.2018.2864159","Defence Science and Technology Laboratory; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8428471","Quality of service;component-based systems;Markov models;probabilistic model checking","Quality of service;Unified modeling language;Analytical models;Markov processes;Probabilistic logic;Component architectures","formal verification;Markov processes;object-oriented programming;probability;quality of service;Web services","observation-enhanced QoS analysis;component-based systems;quality-of-service properties;high-level continuous-time Markov chain model;probabilistic model checkers;model refinement;service-based system;public Web services;IT support system;CTMC-based QoS analysis","","","","74","IEEE","7 Aug 2018","","","IEEE","IEEE Journals"
"Mining Likely Analogical APIs Across Third-Party Libraries via Large-Scale Unsupervised API Semantics Embedding","C. Chen; Z. Xing; Y. Liu; K. O. L. Xiong","Faculty of Information Technology, Monash University, Clayton, VIC, Australia; College of Engineering & Computer Science, Australian National University, Canberra, ACT, Australia; SCSE, Nanayng Technological University, Singapore; SCSE, Nanayng Technological University, Singapore","IEEE Transactions on Software Engineering","15 Mar 2021","2021","47","3","432","447","Establishing API mappings between third-party libraries is a prerequisite step for library migration tasks. Manually establishing API mappings is tedious due to the large number of APIs to be examined. Having an automatic technique to create a database of likely API mappings can significantly ease the task. Unfortunately, existing techniques either adopt supervised learning mechanism that requires already-ported or functionality similar applications across major programming languages or platforms, which are difficult to come by for an arbitrary pair of third-party libraries, or cannot deal with lexical gap in the API descriptions of different libraries. To overcome these limitations, we present an unsupervised deep learning based approach to embed both API usage semantics and API description (name and document) semantics into vector space for inferring likely analogical API mappings between libraries. Based on deep learning models trained using tens of millions of API call sequences, method names and comments of 2.8 millions of methods from 135,127 GitHub projects, our approach significantly outperforms other deep learning or traditional information retrieval (IR) methods for inferring likely analogical APIs. We implement a proof-of-concept website (https://similarapi.appspot.com) which can recommend analogical APIs for 583,501 APIs of 111 pairs of analogical Java libraries with diverse functionalities. This scale of third-party analogical-API database has never been achieved before.","1939-3520","","10.1109/TSE.2019.2896123","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8630054","Analogical API;word embedding;skip thoughts","Libraries;Semantics;Databases;Task analysis;Recurrent neural networks;Deep learning;Java","application program interfaces;data mining;database management systems;deep learning (artificial intelligence);Java;software libraries;unsupervised learning","unsupervised API semantics embedding;third-party analogical-API database;analogical Java libraries;API call sequences;analogical API mappings;API usage semantics;unsupervised deep learning;API descriptions;library migration tasks;third-party libraries","","8","","84","IEEE","30 Jan 2019","","","IEEE","IEEE Journals"
"SQAPlanner: Generating Data-Informed Software Quality Improvement Plans","D. Rajapaksha; C. Tantithamthavorn; C. Bergmeir; W. Buntine; J. Jiarpakdee; J. Grundy","Faculty of Information Technology, Monash University, 2541 Clayton, Victoria, Australia, (e-mail: dilini.rajapakshahewaranasinghage@monash.edu); Information Technology, Monash University, 2541 Clayton, Victoria, Australia, 3800 (e-mail: chakkrit@monash.edu); Information Technology, Monash University, Melbourne, Australia, Melbourne, Victoria, Australia, (e-mail: christoph.bergmeir@monash.edu); Faculty of Information Technology, Monash University, 2541 Clayton, Victoria, Australia, (e-mail: Wray.Buntine@monash.edu); Information Technology, Monash University, Melbourne, Australia, Melbourne, Victoria, Australia, (e-mail: jirayus.jiarpakdee@monash.edu); Faculty of Information Technology, Monash University, 2541 Clayton, Victoria, Australia, (e-mail: john.grundy@monash.edu)","IEEE Transactions on Software Engineering","","2021","PP","99","1","1","Software Quality Assurance (SQA) planning aims to define proactive plans, such as defining maximum file size, to prevent the occurrence of software defects in future releases. To aid this, defect prediction models have been proposed to generate insights as the most important factors that are associated with software quality. Such insights that are derived from traditional defect models are far from actionable---i.e., practitioners still do not know what they should do or avoid to decrease the risk of having defects, and what is the risk threshold for each metric. A lack of actionable guidance and risk threshold can lead to inefficient and ineffective SQA planning processes. In this paper, we investigate the practitioners' perceptions of current SQA planning activities, current challenges of such SQA planning activities, and propose four types of guidance to support SQA planning. We then propose and evaluate our AI-Driven SQAPlanner approach, a novel approach for generating four types of guidance and their associated risk thresholds in the form of rule-based explanations for the predictions of defect prediction models. Finally, we develop and evaluate a visualization for our SQAPlanner approach. Through the use of qualitative survey and empirical evaluation, our results lead us to conclude that SQAPlanner is needed, effective, stable, and practically applicable. We also find that 80% of our survey respondents perceived that our visualization is more actionable. Thus, our SQAPlanner paves a way for novel research in actionable software analytics---i.e., generating actionable guidance on what should practitioners do and not do to decrease the risk of having defects to support SQA planning.","1939-3520","","10.1109/TSE.2021.3070559","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9394771","Software Quality Assurance;SQA Planning;Actionable Software Analytics;Explainable AI","Planning;Software;Predictive models;Visualization;Tools;Artificial intelligence;Software quality","","","","","","","IEEE","2 Apr 2021","","","IEEE","IEEE Early Access Articles"
"Two-Phase Assessment Approach to Improve the Efficiency of Refactoring Identification","A. Han; S. Cha","Department of Computer Science and Engineering, Korea University, Sungbuk-gu, Seoul, South Korea; Department of Computer Science and Engineering, Korea University, Sungbuk-gu, Seoul, South Korea","IEEE Transactions on Software Engineering","14 Oct 2018","2018","44","10","1001","1023","To automate the refactoring identification process, a large number of candidates need to be compared. Such an overhead can make the refactoring approach impractical if the software size is large and the computational load of a fitness function is substantial. In this paper, we propose a two-phase assessment approach to improving the efficiency of the process. For each iteration of the refactoring process, refactoring candidates are preliminarily assessed using a lightweight, fast delta assessment method called the Delta Table. Using multiple Delta Tables, candidates to be evaluated with a fitness function are selected. A refactoring can be selected either interactively by the developer or automatically by choosing the best refactoring, and the refactorings are applied one after another in a stepwise fashion. The Delta Table is the key concept enabling a two-phase assessment approach because of its ability to quickly calculate the varying amounts of maintainability provided by each refactoring candidate. Our approach has been evaluated for three large-scale open-source projects. The results convincingly show that the proposed approach is efficient because it saves a considerable time while still achieving the same amount of fitness improvement as the approach examining all possible candidates.","1939-3520","","10.1109/TSE.2017.2731853","Basic Science Research Program; National Research Foundation of Korea (NRF); Ministry of Education; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7990580","Refactoring assessment;refactoring identification;maintainability improvement","Measurement;Couplings;Symmetric matrices;Open source software;Computational efficiency;System analysis and design","iterative methods;public domain software;software maintenance","two-phase assessment approach;refactoring identification process;fitness function;computational load;delta assessment method;lightweight method;delta table;large-scale open-source projects","","","","60","","25 Jul 2017","","","IEEE","IEEE Journals"
"Kernel Spectral Embedding Transfer Ensemble for Heterogeneous Defect Prediction","H. Tong; B. Liu; S. Wang","School of Reliability and Systems Engineering, Beihang University, 12633 Beijing, Beijing China 100083 (e-mail: tonghaonan@buaa.edu.cn); School of Reliability and Systems Engineering, Beihang University, 12633 Beijing, Beijing China (e-mail: liubin@buaa.edu.cn); School of Reliability and Systems Engineering, Beihang University, 12633 Beijing, Beijing China (e-mail: wangshihai@buaa.edu.cn)","IEEE Transactions on Software Engineering","","2019","PP","99","1","1","Cross-project defect prediction (CPDP) refers to predicting defects in the target project lacking of defect data by using prediction models trained on the historical defect data of other projects (i.e., source data). However, CPDP requires the source and target projects have common metric set (CPDP-CM). Recently, heterogeneous defect prediction (HDP) has drawn the increasing attention, which predicts defects across projects having heterogeneous metric sets. However, building high-performance HDP methods remains a challenge owing to several serious challenges including class imbalance problem, nonlinear, and the distribution differences between source and target datasets. In this paper, we propose a novel kernel spectral embedding transfer ensemble (KSETE) approach for HDP. KSETE first addresses the class-imbalance problem of the source data and then tries to find the latent common feature space for the source and target datasets by combining kernel spectral embedding, transfer learning, and ensemble learning. Experiments are performed on 22 public projects in both HDP and CPDP-CM scenarios in terms of multiple well-known performance measures such as, AUC, G-Measure, and MCC. The experimental results show that (1) KSETE improves the performance over previous HDP methods by at least 22.7%, 138.9%, and 494.4% in terms of AUC, G-Measure, and MCC, respectively. (2) KSETE improves the performance over previous CPDP-CM methods by at least 4.5%, 30.2%, and 17.9% in AUC, G-Measure, and MCC, respectively. It can be concluded that the proposed KSETE is very effective in both the HDP scenario and the CPDP-CM scenario.","1939-3520","","10.1109/TSE.2019.2939303","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8823052","heterogeneous defect prediction;cross-project defect prediction;class imbalance learning;spectral embedding;transfer learning;ensemble learning;multiple kernel learning","Kernel;Predictive models;Software metrics;Correlation;Buildings;Data models","","","","1","","","","3 Sep 2019","","","IEEE","IEEE Early Access Articles"
"Evolution of the Unix System Architecture: An Exploratory Case Study","D. Spinellis; P. C. Avgeriou","Department of Management Science and Technology, Athens University of Economics and Business, Athina, Attiki Greece (e-mail: dds@aueb.gr); Department of Mathematics and Computing Science, University of Groningen, Groningen, groningen Netherlands 9747 AG (e-mail: paris@cs.rug.nl)","IEEE Transactions on Software Engineering","","2019","PP","99","1","1","Unix has evolved for almost five decades, shaping modern operating systems, key software technologies, and development practices. Studying the evolution of this remarkable system from an architectural perspective can provide insights on how to manage the growth of large, complex, and long-lived software systems. Along main Unix releases leading to the FreeBSD lineage we examine core architectural design decisions, the number of features, and code complexity, based on the analysis of source code, reference documentation, and related publications. We report that the growth in size has been uniform, with some notable outliers, while cyclomatic complexity has been religiously safeguarded. A large number of Unix-defining design decisions were implemented right from the very early beginning, with most of them still playing a major role. Unix continues to evolve from an architectural perspective, but the rate of architectural innovation has slowed down over the system's lifetime. Architectural technical debt has accrued in the forms of functionality duplication and unused facilities, but in terms of cyclomatic complexity it is systematically being paid back through what appears to be a self-correcting process. Some unsung architectural forces that shaped Unix are the emphasis on conventions over rigid enforcement, the drive for portability, a sophisticated ecosystem of other operating systems and development organizations, and the emergence of a federated architecture, often through the adoption of third-party subsystems. These findings have led us to form an initial theory on the architecture evolution of large, complex operating system software.","1939-3520","","10.1109/TSE.2019.2892149","Horizon 2020 Framework Programme; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8704965","Unix;Software Architecture;Software Evolution;Architecture Design Decisions;Operating Systems","Computer architecture;Complexity theory;Evolution (biology);Linux;Kernel","","","","","","","CCBY","2 May 2019","","","IEEE","IEEE Early Access Articles"
"A Look into Programmers’ Heads","N. Peitek; J. Siegmund; S. Apel; C. Kästner; C. Parnin; A. Bethmann; T. Leich; G. Saake; A. Brechmann","Leibniz Institute for Neurobiology Magdeburg, Magdeburg, Germany; University of Passau, Passau, Germany; University of Passau, Passau, Germany; Carnegie Mellon University, Pittsburgh, PA, USA; NC State University, Raleigh, NC, USA; Leibniz Institute for Neurobiology Magdeburg, Magdeburg, Germany; Metop Research Institute, Magdeburg, Germany; University of Magdeburg, Magdeburg, Germany; Leibniz Institute for Neurobiology Magdeburg, Magdeburg, Germany","IEEE Transactions on Software Engineering","20 Apr 2020","2020","46","4","442","462","Program comprehension is an important, but hard to measure cognitive process. This makes it difficult to provide suitable programming languages, tools, or coding conventions to support developers in their everyday work. Here, we explore whether functional magnetic resonance imaging (fMRI) is feasible for soundly measuring program comprehension. To this end, we observed 17 participants inside an fMRI scanner while they were comprehending source code. The results show a clear, distinct activation of five brain regions, which are related to working memory, attention, and language processing, which all fit well to our understanding of program comprehension. Furthermore, we found reduced activity in the default mode network, indicating the cognitive effort necessary for program comprehension. We also observed that familiarity with Java as underlying programming language reduced cognitive effort during program comprehension. To gain confidence in the results and the method, we replicated the study with 11 new participants and largely confirmed our findings. Our results encourage us and, hopefully, others to use fMRI to observe programmers and, in the long run, answer questions, such as: How should we train programmers? Can we train someone to become an excellent programmer? How effective are new languages and tools for program comprehension?","1939-3520","","10.1109/TSE.2018.2863303","DFG; Bavarian State Ministry of Education, Science; DFG; National Science Foundation; AFRL and DARPA; ERC; National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8425769","Functional magnetic resonance imaging;program comprehension","Functional magnetic resonance imaging;Task analysis;Cognition;Brain;Programming;Blood","biomedical MRI;brain;cognition;Java;medical computing;neurophysiology","default mode network;Java;programming language reduced cognitive effort;language processing;working memory;brain regions;fMRI scanner;programming language;program comprehension;functional magnetic resonance imaging","","1","","112","IEEE","6 Aug 2018","","","IEEE","IEEE Journals"
"Empirical Assessment of Multimorphic Testing","P. Temple; M. Acher; J. M. Jezequel","Faculty of Computer Science, University of Namur, 54501 Namur, Belgium Belgium (e-mail: paul.temple@unamur.be); Computer Science, University of Rennes 1 / Inria / IRISA, Rennes, Ille et Vilaine France 35200 (e-mail: mathieu.acher@irisa.fr); Computer Science, University of Rennes 1 / Inria / IRISA, Rennes, Ille et Vilaine France (e-mail: Jean-Marc.Jezequel@irisa.fr)","IEEE Transactions on Software Engineering","","2019","PP","99","1","1","The performance of software systems (such as speed, memory usage, correct identification rate) tends to be an evermore important concern, often nowadays on par with functional correctness for critical systems.Systematically testing these performance concerns is however extremely difficult, in particular because there exists no theory underpinning the evaluation of a performance test suite, i.e., to tell the software developer whether such a test suite is ""good enough"" or even whether a test suite is better than another one. This paper proposes to apply Multimorphic testing and empirically assess the effectiveness of performance test suites of software systems coming from various domains. By analogy with mutation testing, our core idea is to leverage the typical configurability of these systems, and to check whether it makes any difference in the outcome of the tests: i.e., are some tests able to ""kill"" underperforming system configurations? More precisely, we propose a framework for defining and evaluating the coverage of a test suite with respect to a quantitative property of interest. Such properties can be the execution time, the memory usage or the success rate in tasks performed by a software system. This framework can be used to assess whether a new test case is worth adding to a test suite or to select an optimal test suite with respect to a property of interest. We evaluate several aspects of our proposal through 3 empirical studies carried out in different fields: object tracking in videos, object recognition in images, and code generators.","1939-3520","","10.1109/TSE.2019.2926971","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8755468","software product lines;software testing;performance testing;test evaluation","Testing;Software measurement;Software systems;Videos;Task analysis;Generators","","","","","","","","4 Jul 2019","","","IEEE","IEEE Early Access Articles"
"An Integration Test Order Strategy to Consider Control Coupling","S. JIANG; M. Zhang; Y. Zhang; R. Wang; Q. Yu; J. W. Keung","School of Computer Science and Technology, China University of Mining and Technology, 12392 Xuzhou, Jiangsu China 221116 (e-mail: shjjiang@cumt.edu.cn); Computer Science, City University of Hong Kong, 53025 Kowloon, Hong Kong Hong Kong (e-mail: miazhang9-c@my.cityu.edu.hk); Mine Digitization Engineering Research Center of the Ministry of Education, School of Computer Science and Technology, China University of Mining and Technology, 12392 Xuzhou, Jiangsu China (e-mail: ymzhang@cumt.edu.cn); School of Computer Science and Technology, China University of Mining and Technology, 12392 Xuzhou, Jiangsu China (e-mail: rcwang@cumt.edu.cn); school of Computer Science and technology, Jiangsu Normal University, 12675 Xuzhou, Jiangsu China (e-mail: yuqiao@jsnu.edu.cn); Department of Computer Science, City University of Hong Kong, Kowloon, Kowloon Tong Hong Kong KLN (e-mail: Jacky.Keung@cityu.edu.hk)","IEEE Transactions on Software Engineering","","2019","PP","99","1","1","Integration testing is a very important step in software testing. Existing methods evaluate the stubbing cost for class inte-gration test orders by considering only the interclass direct relationships such as inheritance, aggregation, and associa-tion, but they omit the interclass indirect relationship caused by control coupling, which can also affect the test orders and the stubbing cost. In this paper, we introduce an integration test order strategy to consider control coupling. We ad-vance the concept of transitive relationship to describe this kind of interclass dependency and propose a new measure-ment method to estimate the complexity of control coupling, which is the complexity of stubs created for a transitive rela-tionship. We evaluate our integration test order strategy on 10 programs on various scales. The results show that consid-ering the transitive relationship when generating class integration test orders can significantly reduce the stubbing cost for most programs and that our integration test order strategy obtains satisfactory results more quickly than other methods.","1939-3520","","10.1109/TSE.2019.2921965","National Natural Science Foundation of China; Natural Science Foundation of Jiangsu Province under grant; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8734013","control coupling;integration test order;software testing;stubbing cost","Couplings;Complexity theory;Measurement;Marine vehicles;Mathematical model;Software testing","","","","","","","","10 Jun 2019","","","IEEE","IEEE Early Access Articles"
